"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006402","GO:0006402","mRNA catabolic process","17/256","357/18805",0.0476190476190476,3.49795386904762,5.59794632729823,8.59634380816181e-06,0.000429657998856088,0.000383567855299852,"DHX9/KHSRP/HNRNPU/DDX5/SYNCRIP/HNRNPC/YBX1/APEX1/ELAVL1/EIF4A3/THRAP3/HNRNPA0/CAPRIN1/ETF1/RBM10/MAGOHB/CNOT3",17
"GO:0050686","GO:0050686","negative regulation of mRNA processing","5/256","22/18805",0.227272727272727,16.6947798295455,8.6530445992211,9.79713775904784e-06,0.000480772269303093,0.000429199011109292,"HNRNPK/U2AF2/SRSF10/SRSF6/RBM10",5
"GO:0070934","GO:0070934","CRD-mediated mRNA stabilization","4/256","11/18805",0.363636363636364,26.7116477272727,10.0207792221496,1.02697508619802e-05,0.000494965313865794,0.000441869543666778,"DHX9/HNRNPU/SYNCRIP/YBX1",4
"GO:0061013","GO:0061013","regulation of mRNA catabolic process","15/256","290/18805",0.0517241379310345,3.79950161637931,5.64420418788002,1.11188490043143e-05,0.000526487253730601,0.000470010071484311,"DHX9/KHSRP/HNRNPU/SYNCRIP/HNRNPC/YBX1/APEX1/ELAVL1/EIF4A3/THRAP3/HNRNPA0/CAPRIN1/RBM10/MAGOHB/CNOT3",15
"GO:0000381","GO:0000381","regulation of alternative mRNA splicing, via spliceosome","7/256","57/18805",0.12280701754386,9.0210389254386,7.12484519505102,1.18118308175981e-05,0.000549657437529265,0.000490694750299131,"HNRNPU/DDX17/DDX5/THRAP3/PUF60/RBM4/SRSF6",7
"GO:0009895","GO:0009895","negative regulation of catabolic process","17/256","368/18805",0.046195652173913,3.39339546535326,5.44725992263541,1.27550435632863e-05,0.00058348919622559,0.000520897318757581,"FLNA/DHX9/HNRNPU/LRPPRC/SYNCRIP/HNRNPC/YBX1/ELAVL1/SF3B3/THRAP3/CCAR2/SEC22B/HNRNPA0/USP7/DFFA/RBM10/GOLGA2",17
"GO:0000725","GO:0000725","recombinational repair","12/256","194/18805",0.0618556701030928,4.54373389175258,5.82856931833598,1.4710543486626e-05,0.000661729281173392,0.000590744456857664,"XRCC6/PARP1/RUVBL2/RUVBL1/MCM7/TP53BP1/CHD4/MCM2/FEN1/MCM5/RPA3/RAD21",12
"GO:1900152","GO:1900152","negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","4/256","12/18805",0.333333333333333,24.4856770833333,9.5604977737021,1.52399201122347e-05,0.000674304006277401,0.00060197026983443,"DHX9/HNRNPU/SYNCRIP/YBX1",4
"GO:0006446","GO:0006446","regulation of translational initiation","8/256","83/18805",0.0963855421686747,7.08019578313253,6.52176796047596,1.72854517087774e-05,0.000743327539809278,0.00066358953164854,"TPR/SCRIB/DDX1/EIF4H/RBM4/EIF5B/BZW2/EIF3K",8
"GO:0051225","GO:0051225","spindle assembly","10/256","136/18805",0.0735294117647059,5.40125229779412,6.05159763457453,1.73507354605352e-05,0.000743327539809278,0.00066358953164854,"FLNA/TUBB/NUMA1/HNRNPU/TPR/DDB1/RPS3/GOLGA2/STAG2/ZNF207",10
"GO:0033119","GO:0033119","negative regulation of RNA splicing","5/256","26/18805",0.192307692307692,14.1263521634615,7.86827169638964,2.34068310152014e-05,0.000987109951719195,0.000881220990029538,"HNRNPK/U2AF2/SRSF10/SRSF6/RBM10",5
"GO:0140694","GO:0140694","membraneless organelle assembly","18/256","427/18805",0.0421545667447307,3.09654932669789,5.14819219653655,2.41974147095034e-05,0.000993808806422236,0.000887201247206762,"FLNA/TUBB/PRKDC/NUMA1/HNRNPU/TPR/RPSA/DDB1/RPS3/RBM14/PSPC1/CAPRIN1/SUGT1/USP10/EIF5B/GOLGA2/STAG2/ZNF207",18
"GO:0042752","GO:0042752","regulation of circadian rhythm","9/256","113/18805",0.079646017699115,5.85056001106195,6.07558457616581,2.43021049365941e-05,0.000993808806422236,0.000887201247206762,"PRKDC/PARP1/DDB1/PPP1CC/THRAP3/CCAR2/RBM4/PSPC1/USP7",9
"GO:0007051","GO:0007051","spindle organization","12/256","206/18805",0.058252427184466,4.27905036407767,5.55932102786312,2.67273157361896e-05,0.00107667201749217,0.000961175580834845,"FLNA/TUBB/NUMA1/HNRNPU/TPR/DDB1/RPS3/SUGT1/GOLGA2/RAE1/STAG2/ZNF207",12
"GO:0007623","GO:0007623","circadian rhythm","12/256","207/18805",0.0579710144927536,4.25837862318841,5.53781511346615,2.8034441107109e-05,0.00111271994923658,0.000993356589693074,"PRKDC/HNRNPU/PARP1/DDB1/PPP1CC/THRAP3/CCAR2/RBM4/PSPC1/GFPT1/TOP1/USP7",12
"GO:0071103","GO:0071103","DNA conformation change","4/256","14/18805",0.285714285714286,20.9877232142857,8.78895521858415,3.01634135360417e-05,0.00117987033527213,0.00105330363972539,"HMGB1/TOP1/TOP2B/HMGB3",4
